country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index,total_military_assets,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap
Mozambique,33350954.0,51786000000.0,480000000.0,8274000000.0,14674420.0,11200.0,0.0,4000.0,11200.0,1000.0,23.0,2.0,8.0,5.0,7.0,1.0,0.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,60.0,0.0,104.0,12.0,1.9769,119.0,8.109349466622871e-06,0.00926891437840343,92,91
Portugal,10639726.0,556942000000.0,6760000000.0,530000000000.0,5319863.0,25000.0,23500.0,6000.0,12000.0,7000.0,128.0,5.0,28.0,20.0,36.0,23.0,16.0,0.0,4.0,128.0,0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,34.0,23.0,54.0,0.0,0.6659,290.0,5.4512681999517653e-05,0.012137709133087466,38,37
Somalia,13017273.0,26770000000.0,870000000.0,2563000000.0,2993973.0,30000.0,0.0,550.0,29150.0,500.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3.7393,25.0,8.350108701715079e-06,0.032499066118789686,137,136
Guatemala,18255216.0,232673000000.0,616000000.0,11862000000.0,7484639.0,106114.0,90000.0,2210.0,196114.0,3200.0,35.0,3.0,0.0,10.0,20.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,110.0,0.0,2.1277,60.0,8.016418694341837e-06,0.0026474924035019103,96,95
Paraguay,7522549.0,112919000000.0,416800000.0,13783000000.0,3535598.0,15650.0,168500.0,1100.0,180000.0,5400.0,49.0,4.0,0.0,12.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,50.0,0.0,1.7974,59.0,1.6687417517489262e-05,0.0036911414376677087,81,80
Turkmenistan,5744151.0,134555000000.0,1463000000.0,3696000000.0,2768681.0,36500.0,0.0,3000.0,42760.0,2000.0,91.0,27.0,22.0,5.0,26.0,11.0,0.0,10.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,654.0,73.0,457.0,164.0,1.7459,761.0,0.0002748601229249596,0.010872877262086135,78,77
Panama,4470241.0,164484000000.0,1069750000.0,1227085530000.0,2011608.0,16300.0,0.0,500.0,80000.0,0.0,38.0,0.0,0.0,13.0,23.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.5011,60.0,2.982688476084804e-05,0.0065036720896865345,135,134
Botswana,2450668.0,45553000000.0,581000000.0,1761000000.0,1029281.0,12000.0,0.0,500.0,12000.0,0.0,45.0,0.0,10.0,9.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.0,36.0,20.0,2.9993,90.0,8.743967876605125e-05,0.012754374025859987,130,129
Nicaragua,6676948.0,52989000000.0,1311600000.0,6753000000.0,3271705.0,45000.0,0.0,815.0,42935.0,1250.0,17.0,0.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,186.0,0.0,347.0,151.0,2.5894,226.0,6.907713256543606e-05,0.024752307082602048,116,115
Madagascar,29452714.0,52968000000.0,147630000.0,3548000000.0,11192031.0,13500.0,0.0,300.0,21600.0,500.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,0.0,17.0,0.0,3.0381,25.0,2.233732197489446e-06,0.0027871545083824195,131,130
Cambodia,17063669.0,123676000000.0,750000000.0,8019000000.0,8190561.0,124300.0,0.0,1500.0,75000.0,2800.0,24.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,520.0,30.0,525.0,521.0,1.8434,564.0,6.885975209756695e-05,0.006064232349041043,83,82
Azerbaijan,10650239.0,225198000000.0,5100000000.0,12378000000.0,5218617.0,128000.0,306000.0,15000.0,110000.0,3000.0,159.0,20.0,12.0,4.0,87.0,36.0,0.0,16.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,1354.0,135.0,651.0,696.0,1.1991,1545.0,0.0002960554491736029,0.02264673753763355,60,59
Slovenia,2097893.0,103118000000.0,1782000000.0,60500000000.0,1006989.0,7000.0,26000.0,615.0,32035.0,350.0,40.0,0.0,0.0,5.0,16.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,54.0,17.0,18.0,0.0,1.9404,97.0,9.632677218916989e-05,0.017281173025078065,91,90
Finland,5626414.0,313591000000.0,8890000000.0,726000000000.0,2306830.0,24000.0,870000.0,41100.0,42000.0,6700.0,162.0,0.0,53.0,11.0,27.0,77.0,1.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,200.0,125.0,667.0,76.0,0.8673,527.0,0.00022845203157579883,0.028349027873886688,48,47
Namibia,2803660.0,31154000000.0,450498000.0,9680000000.0,616805.0,17567.0,0.0,1175.0,8500.0,3000.0,36.0,0.0,11.0,5.0,7.0,13.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,7.0,0.0,50.0,55.0,2.7414,58.0,9.403296017379885e-05,0.014460358220453232,122,121
Singapore,6028459.0,800304000000.0,18000000000.0,1884751660000.0,3918498.0,51000.0,252500.0,13500.0,280000.0,9000.0,235.0,0.0,100.0,9.0,75.0,36.0,9.0,20.0,11.0,101.0,0.0,0.0,0.0,6.0,6.0,6.0,55.0,4.0,170.0,48.0,89.0,24.0,0.5272,506.0,0.0001291311109511859,0.022491453247765848,29,28
